date,price,open,high,low,vol.,change %
2019-07-21,10714.4,10827.0,10883.8,10442.5,562170.0,-1.04
2019-07-22,10412.5,10715.1,10806.3,10196.5,591270.0,-2.82
2019-07-23,9888.7,10412.8,10414.7,9865.4,663380.0,-5.03
2019-07-24,9804.3,9887.2,9945.3,9584.0,639540.0,-0.85
2019-07-25,9945.3,9804.7,10203.5,9776.6,545850.0,1.44
2019-07-26,9831.0,9945.2,10436.1,9724.2,493750.0,-1.15
2019-07-27,9492.1,9830.4,10232.3,9389.1,661890.0,-3.45
2019-07-28,9727.8,9491.1,9798.5,9401.1,518590.00000000006,2.48
2019-07-29,9580.9,9728.5,9835.4,9502.5,510900.0,-1.51
2019-07-30,9580.7,9580.0,9703.0,9483.0,511510.0,0.0
2019-07-31,10082.0,9580.3,10100.0,9562.4,589840.0,5.23
2019-08-01,10380.0,10081.9,10459.0,9890.6,608370.0,2.96
2019-08-02,10520.1,10380.5,10664.8,10330.5,578290.0,1.35
2019-08-03,10815.7,10519.9,10893.6,10504.5,508750.0,2.81
2019-08-04,10934.6,10816.1,11017.7,10568.8,585710.0,1.1
2019-08-05,11816.8,10934.8,11922.3,10934.8,769630.0,8.07
2019-08-06,11480.9,11817.6,12291.9,11237.0,807580.0,-2.84
2019-08-07,12013.9,11481.0,12114.5,11406.4,702850.0,4.64
2019-08-08,12191.6,12015.9,12236.6,11727.0,592150.0,1.48
2019-08-09,12089.8,12190.0,12225.3,11885.0,558720.0,-0.84
2019-08-10,11314.5,12090.5,12185.0,11281.6,570740.0,-6.41
2019-08-11,11517.2,11314.6,11728.4,11146.1,435830.0,1.79
2019-08-12,11394.2,11505.1,11508.6,11267.3,391080.0,-1.07
2019-08-13,10892.9,11395.0,11445.6,10793.2,540780.0,-4.4
2019-08-14,10049.4,10894.2,10894.5,9965.5,745590.0,-7.74
